timestamp,close,high,low,trade_count,open,volume,vwap,symbol
2016-01-26 16:21:00+00:00,189.56,189.77,189.52,3617,189.76,952280,189.600188,SPY
2016-01-26 16:22:00+00:00,189.615,189.6475,189.54,1470,189.555,454130,189.609816,SPY
2016-01-26 16:23:00+00:00,189.555,189.63,189.47,1963,189.63,564403,189.5689,SPY
2016-01-26 16:24:00+00:00,189.6,189.67,189.555,1507,189.56,354318,189.625347,SPY
2016-01-26 16:25:00+00:00,189.53,189.69,189.51,1375,189.6,273702,189.618209,SPY
2016-01-26 16:26:00+00:00,189.51,189.56,189.45,1378,189.54,295155,189.497255,SPY
2016-01-26 16:27:00+00:00,189.5228,189.54,189.41,1235,189.51,1506313,188.207659,SPY
2016-01-26 16:28:00+00:00,189.6501,189.675,189.52,1321,189.5265,331704,189.593841,SPY
2016-01-26 16:29:00+00:00,189.68,189.77,189.64,1753,189.66,417200,189.692703,SPY
2016-01-26 16:30:00+00:00,189.57,189.69,189.44,3347,189.67,991161,189.531822,SPY
2016-01-26 16:31:00+00:00,189.5275,189.57,189.45,1768,189.56,466649,189.508816,SPY
2016-01-26 16:32:00+00:00,189.515,189.57,189.464,2092,189.53,745328,189.521306,SPY
2016-01-26 16:33:00+00:00,189.49,189.57,189.41,1591,189.515,440344,189.486092,SPY
2016-01-26 16:34:00+00:00,189.4,189.515,189.34,1690,189.5,688895,188.728936,SPY
2016-01-26 16:35:00+00:00,189.415,189.46,189.34,1138,189.405,299869,189.397572,SPY
2016-01-26 16:36:00+00:00,189.45,189.49,189.41,1357,189.43,386476,189.456456,SPY
2016-01-26 16:37:00+00:00,189.49,189.51,189.4199,862,189.445,167860,189.464994,SPY
2016-01-26 16:38:00+00:00,189.26,189.51,189.241,1676,189.48,456073,189.34524,SPY
2016-01-26 16:39:00+00:00,189.42,189.44,189.23,1482,189.26,321066,189.331682,SPY
2016-01-26 16:40:00+00:00,189.42,189.43,189.34,1348,189.42,297236,189.392822,SPY
2016-01-26 16:41:00+00:00,189.435,189.51,189.405,1147,189.415,271990,189.446464,SPY
2016-01-26 16:42:00+00:00,189.5,189.55,189.44,1130,189.44,268967,189.50246,SPY
2016-01-26 16:43:00+00:00,189.545,189.56,189.495,649,189.51,149900,189.52063,SPY
2016-01-26 16:44:00+00:00,189.49,189.5511,189.455,1098,189.54,253453,189.495761,SPY
2016-01-26 16:45:00+00:00,189.51,189.55,189.43,1866,189.49,589185,189.500246,SPY
2016-01-26 16:46:00+00:00,189.5,189.57,189.4902,1192,189.52,357390,189.529941,SPY
2016-01-26 16:47:00+00:00,189.46,189.52,189.42,1110,189.51,343132,189.468705,SPY
2016-01-26 16:48:00+00:00,189.43,189.47,189.39,1287,189.45,486515,189.435497,SPY
2016-01-26 16:49:00+00:00,189.41,189.46,189.38,867,189.425,206076,189.419556,SPY
2016-01-26 16:50:00+00:00,189.545,189.56,189.39,1451,189.41,832452,188.313327,SPY
2016-01-26 16:51:00+00:00,189.62,189.65,189.535,2449,189.545,623141,189.590997,SPY
2016-01-26 16:52:00+00:00,189.705,189.74,189.62,1970,189.62,564476,189.692693,SPY
2016-01-26 16:53:00+00:00,189.65,189.74,189.64,824,189.71,208741,189.693984,SPY
2016-01-26 16:54:00+00:00,189.69,189.7,189.63,1330,189.66,440310,189.669666,SPY
2016-01-26 16:55:00+00:00,189.58,189.705,189.57,806,189.7,149489,189.627621,SPY
2016-01-26 16:56:00+00:00,189.59,189.66,189.534,752,189.5801,127065,189.596899,SPY
2016-01-26 16:57:00+00:00,189.61,189.67,189.57,1016,189.59,258435,189.630416,SPY
2016-01-26 16:58:00+00:00,189.56,189.64,189.525,1152,189.61,293049,189.583974,SPY
2016-01-26 16:59:00+00:00,189.535,189.5865,189.5,1061,189.57,1075784,188.142003,SPY
2016-01-26 17:00:00+00:00,189.625,189.635,189.53,1071,189.54,278124,189.570175,SPY
2016-01-26 17:01:00+00:00,189.68,189.7,189.585,1114,189.6082,1291172,188.013126,SPY
2016-01-26 17:02:00+00:00,189.7118,189.77,189.67,1223,189.68,309327,189.729865,SPY
2016-01-26 17:03:00+00:00,189.84,189.85,189.71,1814,189.71,558572,189.779332,SPY
2016-01-26 17:04:00+00:00,189.81,189.86,189.795,1190,189.83,312288,189.834733,SPY
2016-01-26 17:05:00+00:00,189.84,189.86,189.77,1297,189.82,296728,189.803897,SPY
2016-01-26 17:06:00+00:00,189.88,189.91,189.815,944,189.85,381785,189.862822,SPY
2016-01-26 17:07:00+00:00,189.77,189.9,189.75,493,189.9,92000,189.807947,SPY
2016-01-26 17:08:00+00:00,189.74,189.81,189.73,457,189.78,78339,189.764357,SPY
2016-01-26 17:09:00+00:00,189.8,189.82,189.71,761,189.74,185199,189.786292,SPY
2016-01-26 17:10:00+00:00,189.84,189.86,189.79,500,189.81,85087,189.824272,SPY
2016-01-26 17:11:00+00:00,189.86,189.86,189.78,663,189.83,151591,189.816921,SPY
2016-01-26 17:12:00+00:00,189.95,189.96,189.86,1745,189.86,586742,189.930409,SPY
2016-01-26 17:13:00+00:00,190.25,190.27,189.95,3163,189.9599,911010,190.091985,SPY
2016-01-26 17:14:00+00:00,190.23,190.3,190.2,2116,190.26,626962,190.245526,SPY
2016-01-26 17:15:00+00:00,190.29,190.3,190.22,793,190.23,158559,190.258166,SPY
2016-01-26 17:16:00+00:00,190.31,190.34,190.26,1212,190.29,369945,190.307776,SPY
2016-01-26 17:17:00+00:00,190.3,190.3168,190.23,825,190.31,267077,190.269085,SPY
2016-01-26 17:18:00+00:00,190.33,190.33,190.2722,607,190.295,143473,190.307142,SPY
2016-01-26 17:19:00+00:00,190.2889,190.38,190.275,1167,190.325,336725,190.342133,SPY
2016-01-26 17:20:00+00:00,190.25,190.37,190.22,1156,190.29,243632,190.295039,SPY
2016-01-26 17:21:00+00:00,190.2,190.26,190.2,845,190.25,195715,190.223995,SPY
2016-01-26 17:22:00+00:00,190.2,190.235,190.14,1126,190.21,322186,190.184365,SPY
2016-01-26 17:23:00+00:00,190.26,190.3,190.181,986,190.21,374399,190.024884,SPY
2016-01-26 17:24:00+00:00,190.275,190.345,190.25,913,190.27,214867,190.297053,SPY
2016-01-26 17:25:00+00:00,190.3,190.33,190.27,672,190.275,148621,190.305009,SPY
2016-01-26 17:26:00+00:00,190.2601,190.3,190.25,344,190.3,59369,190.275293,SPY
2016-01-26 17:27:00+00:00,190.29,190.3,190.24,776,190.27,143151,190.270096,SPY
2016-01-26 17:28:00+00:00,190.27,190.29,190.22,649,190.28,135528,190.248125,SPY
2016-01-26 17:29:00+00:00,190.3028,190.33,190.27,488,190.275,99992,190.297881,SPY
2016-01-26 17:30:00+00:00,190.39,190.42,190.26,930,190.3,289993,190.355899,SPY
2016-01-26 17:31:00+00:00,190.43,190.45,190.35,1163,190.4,473958,190.395504,SPY
2016-01-26 17:32:00+00:00,190.33,190.455,190.32,1028,190.43,252046,190.380097,SPY
2016-01-26 17:33:00+00:00,190.33,190.36,190.31,579,190.32,102118,190.332027,SPY
2016-01-26 17:34:00+00:00,190.382,190.43,190.33,575,190.34,99050,190.365409,SPY
2016-01-26 17:35:00+00:00,190.46,190.47,190.37,770,190.38,147950,190.422656,SPY
2016-01-26 17:36:00+00:00,190.38,190.49,190.37,995,190.46,319451,190.447139,SPY
2016-01-26 17:37:00+00:00,190.38,190.425,190.33,668,190.39,135283,190.371821,SPY
2016-01-26 17:38:00+00:00,190.35,190.4,190.32,609,190.38,130271,190.37169,SPY
2016-01-26 17:39:00+00:00,190.31,190.37,190.28,1025,190.35,301122,190.309043,SPY
2016-01-26 17:40:00+00:00,190.35,190.37,190.29,761,190.3,177840,190.329469,SPY
2016-01-26 17:41:00+00:00,190.3178,190.36,190.29,579,190.35,124900,190.319608,SPY
2016-01-26 17:42:00+00:00,190.28,190.34,190.25,665,190.31,179081,190.297671,SPY
2016-01-26 17:43:00+00:00,190.28,190.29,190.24,659,190.2889,137267,190.265415,SPY
2016-01-26 17:44:00+00:00,190.34,190.34,190.2505,594,190.28,121217,190.307218,SPY
2016-01-26 17:45:00+00:00,190.29,190.33,190.24,439,190.32,79155,190.280966,SPY
2016-01-26 17:46:00+00:00,190.29,190.35,190.27,1551,190.3,415500,190.323121,SPY
2016-01-26 17:47:00+00:00,190.2,190.3,190.2,548,190.285,114574,190.263285,SPY
2016-01-26 17:48:00+00:00,190.2,190.21,190.16,1022,190.19,217861,190.185103,SPY
2016-01-26 17:49:00+00:00,190.21,190.23,190.165,1407,190.21,444720,190.195472,SPY
2016-01-26 17:50:00+00:00,190.2201,190.2739,190.1992,1100,190.22,306444,190.240452,SPY
2016-01-26 17:51:00+00:00,190.12,190.24,190.12,1240,190.225,363609,190.175398,SPY
2016-01-26 17:52:00+00:00,190.15,190.155,190.065,1092,190.12,301880,190.100625,SPY
2016-01-26 17:53:00+00:00,190.075,190.16,190.07,331,190.15,82488,190.116644,SPY
2016-01-26 17:54:00+00:00,190.1042,190.12,190.07,758,190.08,152058,190.099538,SPY
2016-01-26 17:55:00+00:00,190.047,190.13,190.02,1045,190.11,254357,190.080266,SPY
2016-01-26 17:56:00+00:00,190.0742,190.09,190.02,592,190.04,146973,190.060209,SPY
2016-01-26 17:57:00+00:00,190.15,190.16,190.0711,504,190.08,96442,190.111524,SPY
2016-01-26 17:58:00+00:00,190.18,190.215,190.1411,994,190.15,303271,190.192234,SPY
2016-01-26 17:59:00+00:00,190.109,190.18,190.1,648,190.175,177739,190.139626,SPY
2016-01-26 18:00:00+00:00,190.205,190.21,190.105,696,190.11,148337,190.185401,SPY
2016-01-26 18:01:00+00:00,190.23,190.25,190.191,840,190.215,255129,190.227549,SPY
2016-01-26 18:02:00+00:00,190.23,190.27,190.22,484,190.23,117737,190.245971,SPY
2016-01-26 18:03:00+00:00,190.265,190.27,190.23,722,190.24,151096,190.255364,SPY
2016-01-26 18:04:00+00:00,190.195,190.28,190.19,886,190.269,222284,190.235073,SPY
2016-01-26 18:05:00+00:00,190.1,190.23,190.06,1558,190.2,478079,190.123457,SPY
2016-01-26 18:06:00+00:00,190.0,190.1,189.975,856,190.09,302271,190.022748,SPY
2016-01-26 18:07:00+00:00,190.105,190.13,189.99,930,190.0,214942,190.060436,SPY
2016-01-26 18:08:00+00:00,190.07,190.13,190.07,389,190.105,91495,190.103372,SPY
2016-01-26 18:09:00+00:00,190.01,190.08,189.99,632,190.07,114939,190.022228,SPY
2016-01-26 18:10:00+00:00,190.084,190.0924,189.96,836,190.01,220679,190.022738,SPY
2016-01-26 18:11:00+00:00,190.09,190.1399,190.07,414,190.08,104120,190.101753,SPY
2016-01-26 18:12:00+00:00,190.13,190.14,190.071,400,190.085,73222,190.114369,SPY
2016-01-26 18:13:00+00:00,190.09,190.14,190.035,1002,190.14,871317,188.605421,SPY
2016-01-26 18:14:00+00:00,190.079,190.14,190.079,701,190.08,214213,190.118279,SPY
2016-01-26 18:15:00+00:00,190.15,190.18,190.06,648,190.08,185489,190.131156,SPY
2016-01-26 18:16:00+00:00,190.18,190.25,190.1301,1483,190.14,544647,190.201434,SPY
2016-01-26 18:17:00+00:00,190.18,190.25,190.17,823,190.1805,178940,190.201002,SPY
2016-01-26 18:18:00+00:00,190.23,190.26,190.16,827,190.17,199303,190.234849,SPY
2016-01-26 18:19:00+00:00,190.23,190.2599,190.19,580,190.22,96296,190.213069,SPY
2016-01-26 18:20:00+00:00,190.34,190.35,190.23,616,190.24,246475,190.291037,SPY
2016-01-26 18:21:00+00:00,190.365,190.37,190.33,766,190.34,235531,190.346039,SPY
2016-01-26 18:22:00+00:00,190.355,190.39,190.335,776,190.36,245704,190.364592,SPY
2016-01-26 18:23:00+00:00,190.35,190.37,190.325,672,190.36,169261,190.342898,SPY
2016-01-26 18:24:00+00:00,190.4,190.4,190.335,735,190.345,207389,190.378565,SPY
2016-01-26 18:25:00+00:00,190.355,190.41,190.33,1896,190.4,830670,190.378735,SPY
2016-01-26 18:26:00+00:00,190.33,190.375,190.32,1100,190.355,325833,190.345051,SPY
2016-01-26 18:27:00+00:00,190.5,190.5,190.32,1304,190.3295,496356,190.411607,SPY
2016-01-26 18:28:00+00:00,190.4549,190.53,190.421,1501,190.5,465635,190.489049,SPY
2016-01-26 18:29:00+00:00,190.29,190.47,190.27,1180,190.46,268813,190.343465,SPY
2016-01-26 18:30:00+00:00,190.18,190.36,190.17,1160,190.28,1336167,188.214393,SPY
2016-01-26 18:31:00+00:00,190.2,190.22,190.1663,827,190.19,192521,190.189639,SPY
2016-01-26 18:32:00+00:00,190.21,190.23,190.14,741,190.2,428580,188.640635,SPY
2016-01-26 18:33:00+00:00,190.1942,190.235,190.18,679,190.22,147132,190.210114,SPY
2016-01-26 18:34:00+00:00,190.2,190.2192,190.12,847,190.195,182389,190.157368,SPY
2016-01-26 18:35:00+00:00,190.1622,190.25,190.11,827,190.21,203631,190.18283,SPY
2016-01-26 18:36:00+00:00,190.1,190.2058,190.1,969,190.16,207856,190.154969,SPY
2016-01-26 18:37:00+00:00,190.149,190.15,190.09,771,190.1,187975,190.126475,SPY
2016-01-26 18:38:00+00:00,190.08,190.17,190.06,941,190.15,219322,190.109845,SPY
2016-01-26 18:39:00+00:00,190.07,190.08,190.02,716,190.07,212923,190.051732,SPY
2016-01-26 18:40:00+00:00,190.208,190.21,190.07,1231,190.07,302305,190.144435,SPY
2016-01-26 18:41:00+00:00,190.24,190.24,190.15,893,190.2,253631,190.203118,SPY
2016-01-26 18:42:00+00:00,190.16,190.25,190.15,1186,190.231,276198,190.19467,SPY
2016-01-26 18:43:00+00:00,190.09,190.19,190.075,1437,190.16,419798,190.143791,SPY
2016-01-26 18:44:00+00:00,190.04,190.12,190.02,1294,190.09,565999,190.079424,SPY
2016-01-26 18:45:00+00:00,190.11,190.11,190.02,458,190.05,101493,190.050472,SPY
2016-01-26 18:46:00+00:00,190.14,190.16,190.09,941,190.1199,229054,190.126779,SPY
2016-01-26 18:47:00+00:00,190.1,190.16,190.09,567,190.14,109799,190.131358,SPY
2016-01-26 18:48:00+00:00,190.21,190.22,190.09,681,190.09,159633,190.160067,SPY
2016-01-26 18:49:00+00:00,190.235,190.25,190.2,385,190.2158,117892,190.217252,SPY
2016-01-26 18:50:00+00:00,190.22,190.28,190.22,670,190.24,230232,190.256046,SPY
2016-01-26 18:51:00+00:00,190.26,190.27,190.22,326,190.2299,74273,190.246333,SPY
2016-01-26 18:52:00+00:00,190.16,190.27,190.14,782,190.27,345582,190.253918,SPY
2016-01-26 18:53:00+00:00,190.23,190.2305,190.16,380,190.16,55943,190.198339,SPY
2016-01-26 18:54:00+00:00,190.12,190.25,190.11,813,190.24,171880,190.168074,SPY
2016-01-26 18:55:00+00:00,190.07,190.16,190.07,730,190.12,182655,190.11366,SPY
2016-01-26 18:56:00+00:00,190.15,190.15,190.07,402,190.0715,96866,190.111345,SPY
2016-01-26 18:57:00+00:00,190.11,190.18,190.09,548,190.16,94789,190.140962,SPY
2016-01-26 18:58:00+00:00,190.075,190.125,190.06,934,190.1,274176,190.086838,SPY
2016-01-26 18:59:00+00:00,190.07,190.09,190.05,494,190.08,266205,190.088844,SPY
2016-01-26 19:00:00+00:00,190.0085,190.07,189.95,1112,190.06,308348,190.019651,SPY
2016-01-26 19:01:00+00:00,190.04,190.09,190.0089,660,190.01,133472,190.054688,SPY
2016-01-26 19:02:00+00:00,190.02,190.04,189.95,907,190.04,180023,189.993512,SPY
2016-01-26 19:03:00+00:00,190.0051,190.03,189.96,712,190.03,211933,189.992172,SPY
2016-01-26 19:04:00+00:00,189.83,190.01,189.8,1734,190.0001,446363,189.890124,SPY
2016-01-26 19:05:00+00:00,189.77,189.86,189.77,1600,189.82,396215,189.821537,SPY
2016-01-26 19:06:00+00:00,189.7589,189.82,189.74,1042,189.78,234812,189.776516,SPY
2016-01-26 19:07:00+00:00,189.91,189.92,189.75,1052,189.75,280778,189.869792,SPY
2016-01-26 19:08:00+00:00,189.85,189.93,189.84,708,189.905,135458,189.894861,SPY
2016-01-26 19:09:00+00:00,189.87,189.885,189.83,469,189.85,120802,189.852735,SPY
2016-01-26 19:10:00+00:00,189.85,189.88,189.82,608,189.88,103864,189.853461,SPY
2016-01-26 19:11:00+00:00,189.76,189.85,189.76,698,189.85,129094,189.796613,SPY
2016-01-26 19:12:00+00:00,189.79,189.83,189.76,422,189.78,102849,189.792896,SPY
2016-01-26 19:13:00+00:00,189.8101,189.82,189.77,568,189.79,118829,189.802013,SPY
2016-01-26 19:14:00+00:00,189.77,189.82,189.73,721,189.82,160484,189.766218,SPY
2016-01-26 19:15:00+00:00,189.88,189.9,189.74,1154,189.76,260737,189.820666,SPY
2016-01-26 19:16:00+00:00,189.935,189.95,189.86,870,189.88,191295,189.905779,SPY
